Price,Close,High,Low,Open,Volume
Ticker,FLUT,FLUT,FLUT,FLUT,FLUT
Date,,,,,
2024-07-17,203.52000427246094,206.74000549316406,203.52000427246094,204.6300048828125,699400
2024-07-18,199.77999877929688,202.6199951171875,199.39999389648438,201.7899932861328,776900
2024-07-19,200.9499969482422,201.41000366210938,196.72999572753906,197.35000610351562,901100
2024-07-22,203.2899932861328,203.99000549316406,200.11000061035156,201.0,946300
2024-07-23,203.0399932861328,203.8300018310547,201.6300048828125,203.8300018310547,498700
2024-07-24,195.00999450683594,202.17999267578125,194.72000122070312,201.6999969482422,593600
2024-07-25,195.1199951171875,196.47000122070312,191.11000061035156,192.80999755859375,1448100
2024-07-26,198.6300048828125,198.7899932861328,196.0800018310547,197.52999877929688,379400
2024-07-29,193.5,195.23500061035156,193.19000244140625,193.91000366210938,937600
2024-07-30,192.6300048828125,194.64999389648438,191.2100067138672,193.39999389648438,769500
2024-07-31,197.39999389648438,199.72999572753906,195.55999755859375,197.5,911400
2024-08-01,193.1300048828125,200.10000610351562,191.33999633789062,199.83999633789062,1660100
2024-08-02,187.58999633789062,189.27000427246094,184.83999633789062,187.9600067138672,1833500
2024-08-05,181.8300018310547,184.9199981689453,175.58999633789062,178.0,1164000
2024-08-06,181.22999572753906,185.94000244140625,180.2100067138672,181.17999267578125,1217600
2024-08-07,180.83999633789062,183.77000427246094,180.06500244140625,183.5500030517578,1162100
2024-08-08,191.4199981689453,191.4199981689453,183.72999572753906,184.85000610351562,1139800
2024-08-09,192.0,192.10000610351562,186.80999755859375,187.30999755859375,1297300
2024-08-12,188.3000030517578,190.72000122070312,187.16000366210938,190.1699981689453,2308500
2024-08-13,191.38999938964844,192.0500030517578,183.17999267578125,184.11000061035156,3981100
2024-08-14,206.8800048828125,215.19000244140625,205.49000549316406,209.11000061035156,7073600
2024-08-15,207.74000549316406,210.1999969482422,204.52000427246094,205.82000732421875,1804300
2024-08-16,208.0,208.9499969482422,204.57000732421875,208.14999389648438,1701800
2024-08-19,208.4600067138672,209.63999938964844,206.5,208.6999969482422,955000
2024-08-20,204.85000610351562,208.60000610351562,204.63999938964844,208.0,894000
2024-08-21,210.1300048828125,210.25999450683594,205.75999450683594,206.10000610351562,1247200
2024-08-22,209.35000610351562,213.91000366210938,208.14999389648438,213.91000366210938,1219700
2024-08-23,211.17999267578125,211.8000030517578,208.3350067138672,209.8699951171875,851000
2024-08-26,208.66000366210938,213.5500030517578,207.72999572753906,209.80999755859375,599800
2024-08-27,210.02000427246094,211.7100067138672,209.66000366210938,210.14999389648438,830100
2024-08-28,206.88999938964844,208.52000427246094,205.1199951171875,208.1199951171875,913800
2024-08-29,210.24000549316406,211.8800048828125,207.1929931640625,208.4600067138672,1485000
2024-08-30,212.41000366210938,215.82000732421875,210.58999633789062,210.58999633789062,8778100
2024-09-03,210.92999267578125,214.77999877929688,209.94000244140625,212.4600067138672,2264100
2024-09-04,212.0800018310547,213.47000122070312,207.52000427246094,208.0,1460900
2024-09-05,214.82000732421875,214.92999267578125,211.32000732421875,214.2100067138672,1940000
2024-09-06,213.6699981689453,216.3800048828125,210.22999572753906,214.9600067138672,2901500
2024-09-09,219.3000030517578,220.17999267578125,214.3800048828125,214.3800048828125,3815600
2024-09-10,219.42999267578125,219.8800048828125,215.66000366210938,219.63999938964844,1537300
2024-09-11,220.2100067138672,220.63999938964844,214.83999633789062,218.72999572753906,2351800
2024-09-12,219.5,221.27999877929688,218.2100067138672,221.02999877929688,2181100
2024-09-13,221.47000122070312,224.88999938964844,218.38999938964844,219.0,1627900
